time_s,PA_deg,DA_deg,PWM_duty
0.0071,192.832,0.026,-10.0
0.017,192.832,0.025,-10.0
0.027,192.832,0.025,-10.0
0.037,193.008,0.025,-10.0
0.047,193.008,0.024,-10.0
0.057,193.096,0.023,-10.0
0.067,193.271,0.023,-10.0
0.077,193.447,0.022,-10.0
0.087,193.535,0.021,-10.0
0.097,193.799,0.02,-10.0
0.107,193.887,0.019,-10.0
0.117,194.062,0.017,-10.0
0.127,194.238,0.016,-10.0
0.137,194.414,0.015,-10.0
0.147,194.59,0.014,-10.0
0.157,194.766,0.013,-10.0
0.167,194.941,0.011,-10.0
0.177,195.117,0.01,-10.0
0.187,195.293,0.009,-10.0
0.197,195.469,0.007,-10.0
0.207,195.645,0.006,-10.0
0.217,195.732,0.004,-10.0
0.227,195.908,0.002,-10.0
0.237,196.084,0.001,-10.0
0.247,196.26,-0.001,-10.0
0.257,196.436,-0.003,-10.0
0.267,196.611,-0.005,-10.0
0.277,196.875,-0.007,-10.0
0.287,196.963,-0.008,-10.0
0.297,197.051,-0.01,-10.0
0.3071,197.227,-0.012,-10.0
0.3171,197.314,-0.014,-10.0
0.3272,197.402,-0.016,-10.0
0.3371,197.49,-0.017,-10.0
0.3471,197.578,-0.019,-10.0
0.357,197.666,-0.021,-10.0
0.367,197.754,-0.023,-10.0
0.377,197.754,-0.025,-10.0
0.387,197.842,-0.027,-10.0
0.397,197.842,-0.029,-10.0
0.407,197.842,-0.031,-10.0
0.417,197.842,-0.033,-10.0
0.427,197.754,-0.036,-10.0
0.437,197.666,-0.038,-10.0
0.447,197.666,-0.04,-10.0
0.457,197.578,-0.043,-10.0
0.467,197.578,-0.045,-10.0
0.477,197.49,-0.047,-10.0
0.487,197.402,-0.05,-10.0
0.497,197.227,-0.052,-10.0
0.507,197.139,-0.055,-10.0
0.517,196.963,-0.057,-10.0
0.527,196.875,-0.059,-10.0
0.537,196.699,-0.061,-10.0
0.547,196.523,-0.063,-10.0
0.557,196.348,-0.065,-10.0
0.567,196.172,-0.068,-10.0
0.577,195.996,-0.07,-10.0
0.587,195.732,-0.072,-10.0
0.597,195.557,-0.074,-10.0
0.607,195.293,-0.077,-10.0
0.617,195.029,-0.079,-10.0
0.627,194.766,-0.081,-10.0
0.637,194.502,-0.083,-10.0
0.647,194.326,-0.085,-10.0
0.657,193.975,-0.087,-10.0
0.667,193.799,-0.089,-10.0
0.677,193.623,-0.092,-10.0
0.687,193.359,-0.094,-10.0
0.697,193.096,-0.096,-10.0
0.707,192.832,-0.098,-10.0
0.717,192.568,-0.1,-10.0
0.727,192.393,-0.102,-10.0
0.737,192.041,-0.105,-10.0
0.747,191.865,-0.107,-10.0
0.757,191.602,-0.109,-10.0
0.767,191.426,-0.112,-10.0
0.777,191.162,-0.114,-10.0
0.787,190.986,-0.117,-10.0
0.797,190.723,-0.119,-10.0
0.807,190.635,-0.121,-10.0
0.817,190.371,-0.123,-10.0
0.827,190.195,-0.126,-10.0
0.837,190.02,-0.128,-10.0
0.847,189.844,-0.131,-10.0
0.857,189.756,-0.133,-10.0
0.867,189.58,-0.135,-10.0
0.877,189.492,-0.137,-10.0
